"","종목코드","종목명","종가","대비","등락률","EPS","PER","선행 EPS","선행 PER","BPS","PBR","주당배당금","배당수익률"
"66","083450","GST",22400,-650,-2.82,4292,5.22,NA,NA,16558,1.35,300,1.34
"67","006360","GS건설",23500,-800,-3.29,4834,4.86,4973,4.73,54487,0.43,1300,5.53
"68","001250","GS글로벌",2490,-70,-2.73,283,8.8,NA,NA,4013,0.62,0,0
"69","007070","GS리테일",30250,200,0.67,9096,3.33,2182,13.86,39822,0.76,1200,3.97
"70","078935","GS우",34800,-150,-0.43,NA,NA,NA,NA,NA,NA,2050,5.89
"71","297890","HB솔루션",13750,-380,-2.69,509,27.01,1338,10.28,6224,2.21,0,0
"72","078150","HB테크놀러지",1999,-41,-2.01,151,13.24,NA,NA,2364,0.85,20,1
"73","012630","HDC",6210,-10,-0.16,2069,3,NA,NA,43552,0.14,250,4.03
"74","039570","HDC랩스",8090,90,1.13,593,13.64,NA,NA,11102,0.73,450,5.56
"75","089470","HDC현대EP",4115,-30,-0.72,356,11.56,NA,NA,10379,0.4,140,3.4
"76","294870","HDC현대산업개발",10730,-260,-2.37,2679,4.01,NA,NA,43665,0.25,600,5.59
"77","267250","HD현대",60700,-1000,-1.62,NA,NA,16427,3.7,89404,0.68,5550,9.14
"78","097230","HJ중공업",4070,-70,-1.69,NA,NA,NA,NA,5189,0.78,0,0
"79","195940","HK이노엔",37700,-500,-1.31,984,38.31,1815,20.77,39819,0.95,320,0.85
"80","014790","HL D&I",2805,-25,-0.88,1122,2.5,914,3.07,8822,0.32,100,3.57
"81","028300","HLB",34450,-2900,-7.76,NA,NA,NA,NA,3850,8.95,0,0
"82","003580","HLB글로벌",6020,-260,-4.14,NA,NA,NA,NA,2559,2.35,0,0
"83","067630","HLB생명과학",11450,-700,-5.76,NA,NA,NA,NA,2458,4.66,0,0
"84","047920","HLB제약",12730,-770,-5.7,NA,NA,NA,NA,3004,4.24,0,0
"85","115450","HLB테라퓨틱스",11320,-240,-2.08,NA,NA,NA,NA,3705,3.06,0,0
"86","204320","HL만도",45850,-1350,-2.86,3567,12.85,5247,8.74,41672,1.1,800,1.74
"87","060980","HL홀딩스",33300,-100,-0.3,10531,3.16,10934,3.05,102145,0.33,2000,6.01
"88","011200","HMM",21950,-50,-0.23,13506,1.63,4104,5.35,21179,1.04,600,2.73
