"","종목코드","종목명","종가","대비","등락률","EPS","PER","선행 EPS","선행 PER","BPS","PBR","주당배당금","배당수익률"
"617","000155","두산우",49250,-400,-0.81,NA,NA,NA,NA,NA,NA,2050,4.16
"618","131970","두산테스나",34450,-1150,-3.23,2776,12.41,3602,9.56,15444,2.23,160,0.46
"619","336260","두산퓨얼셀",35700,-250,-0.7,106,336.79,393,90.91,6332,5.64,0,0
"620","33626K","두산퓨얼셀1우",10120,-130,-1.27,NA,NA,NA,NA,NA,NA,0,0
"621","33626L","두산퓨얼셀2우B",12700,-150,-1.17,NA,NA,NA,NA,NA,NA,0,0
"622","016740","두올",2790,95,3.53,492,5.67,NA,NA,5970,0.47,80,2.87
"623","073190","듀오백",2140,5,0.23,NA,NA,NA,NA,2193,0.98,0,0
"624","030350","드래곤플라이",811,-16,-1.93,NA,NA,NA,NA,1200,0.68,0,0
"625","203650","드림시큐리티",3165,-125,-3.8,258,12.27,NA,NA,1460,2.17,0,0
"626","223250","드림씨아이에스",12850,140,1.1,575,22.35,NA,NA,6957,1.85,0,0
"627","060570","드림어스컴퍼니",3650,-100,-2.67,NA,NA,NA,NA,1138,3.21,0,0
"628","192650","드림텍",9590,-100,-1.03,1071,8.95,NA,NA,5263,1.82,300,3.13
"629","217620","디딤이앤에프",1236,-14,-1.12,NA,NA,NA,NA,234,5.28,0,0
"630","016670","디모아",476,-6,-1.24,40,11.9,NA,NA,701,0.68,0,0
"631","187870","디바이스이엔지",18040,-80,-0.44,4526,3.99,2466,7.32,18620,0.97,450,2.49
"632","066670","디스플레이텍",6480,0,0,344,18.84,NA,NA,9731,0.67,80,1.23
"633","024090","디씨엠",14000,-200,-1.41,5524,2.53,NA,NA,25636,0.55,900,6.43
"634","003160","디아이",5180,-80,-1.52,592,8.75,NA,NA,5534,0.94,200,3.86
"635","092200","디아이씨",3750,-85,-2.22,753,4.98,NA,NA,2400,1.56,0,0
"636","110990","디아이티",6950,-240,-3.34,NA,NA,NA,NA,9224,0.75,0,0
"637","078590","디아크",2380,0,0,NA,NA,NA,NA,201,11.84,0,0
"638","263690","디알젬",10710,-160,-1.47,1123,9.54,NA,NA,5527,1.94,140,1.31
"639","214680","디알텍",1530,-20,-1.29,74,20.68,NA,NA,779,1.96,0,0
"640","263720","디앤씨미디어",21800,0,0,1271,17.15,NA,NA,5615,3.88,0,0
"641","376300","디어유",45650,-850,-1.83,NA,NA,1441,31.68,5623,8.12,0,0
"642","141020","디에스앤엘",1331,0,0,NA,NA,NA,NA,5041,0.26,0,0
"643","109740","디에스케이",6150,-80,-1.28,NA,NA,NA,NA,5255,1.17,0,0
"644","196490","디에이테크놀로지",3285,-10,-0.3,NA,NA,NA,NA,3887,0.85,0,0
"645","066900","디에이피",3000,-45,-1.48,463,6.48,NA,NA,6501,0.46,0,0
"646","127120","디엔에이링크",3650,-5,-0.14,NA,NA,NA,NA,1999,1.83,0,0
"647","092070","디엔에프",16140,-560,-3.35,1083,14.9,1956,8.25,12426,1.3,200,1.24
"648","039840","디오",24350,150,0.62,1932,12.6,NA,NA,12629,1.93,0,0
"649","013570","디와이",5830,-70,-1.19,NA,NA,NA,NA,13963,0.42,120,2.06
"650","219550","디와이디",2000,10,0.5,NA,NA,NA,NA,107,18.69,0,0
"651","310870","디와이씨",1862,-40,-2.1,NA,NA,NA,NA,2008,0.93,0,0
"652","210540","디와이파워",12690,-10,-0.08,2814,4.51,NA,NA,20476,0.62,300,2.36
"653","104460","디와이피엔에프",46700,-200,-0.43,499,93.59,NA,NA,9939,4.7,100,0.21
"654","079810","디이엔티",13840,120,0.87,62,223.23,1191,11.62,1711,8.09,0,0
"655","113810","디젠스",940,-37,-3.79,115,8.17,NA,NA,518,1.81,0,0
"656","043360","디지아이",3405,-130,-3.68,NA,NA,NA,NA,5102,0.67,0,0
"657","197140","디지캡",4705,-245,-4.95,9,522.78,NA,NA,4680,1.01,0,0
"658","068930","디지털대성",6760,-10,-0.15,662,10.21,840,8.05,5502,1.23,300,4.44
"659","033130","디지틀조선",2370,-80,-3.27,74,32.03,NA,NA,2225,1.07,20,0.84
"660","105740","디케이락",11740,10,0.09,1065,11.02,NA,NA,11709,1,200,1.7
"661","263020","디케이앤디",3060,-135,-4.23,NA,NA,NA,NA,3477,0.88,50,1.63
"662","290550","디케이티",10070,-240,-2.33,531,18.96,NA,NA,4785,2.1,0,0
"663","187220","디티앤씨",4435,-185,-4,NA,NA,NA,NA,7925,0.56,0,0
"664","383930","디티앤씨알오",11630,-480,-3.96,1122,10.37,NA,NA,3695,3.15,0,0
"665","131180","딜리",1493,-17,-1.13,110,13.57,NA,NA,2057,0.73,40,2.68
"666","315640","딥노이드",8850,-500,-5.35,NA,NA,NA,NA,1468,6.03,0,0
"667","317120","라닉스",5310,-160,-2.93,NA,NA,NA,NA,2002,2.65,0,0
"668","042510","라온시큐어",2585,-90,-3.36,NA,NA,NA,NA,805,3.21,0,0
"669","232680","라온테크",11290,-400,-3.42,504,22.4,NA,NA,1582,7.14,0,0
"670","300120","라온피플",6400,-360,-5.33,NA,NA,NA,NA,2522,2.54,0,0
"671","171120","라이온켐텍",7000,-90,-1.27,475,14.74,NA,NA,6456,1.08,200,2.86
"672","388790","라이콤",2555,-45,-1.73,NA,NA,NA,NA,NA,NA,0,0
"673","069540","라이트론",2605,-75,-2.8,NA,NA,NA,NA,2142,1.22,0,0
"674","347700","라이프시맨틱스",5430,110,2.07,NA,NA,NA,NA,1290,4.21,0,0
"675","214260","라파스",22050,-500,-2.22,578,38.15,NA,NA,6092,3.62,0,0
"676","115390","락앤락",6400,-230,-3.47,311,20.58,NA,NA,13779,0.46,0,0
"677","200350","래몽래인",19050,-490,-2.51,465,40.97,NA,NA,7145,2.67,0,0
"678","171010","램테크놀러지",6010,-150,-2.44,237,25.36,NA,NA,3166,1.9,0,0
"679","084650","랩지노믹스",6660,70,1.06,2497,2.67,NA,NA,4747,1.4,300,4.5
"680","217500","러셀",3640,-105,-2.8,213,17.09,NA,NA,1719,2.12,30,0.82
"681","141080","레고켐바이오",37500,-1650,-4.21,NA,NA,NA,NA,9497,3.95,0,0
"682","038390","레드캡투어",19460,-160,-0.82,1485,13.1,NA,NA,21711,0.9,800,4.11
"683","294140","레몬",3905,15,0.39,NA,NA,NA,NA,761,5.13,0,0
"684","228670","레이",26050,-650,-2.43,NA,NA,1624,16.04,6981,3.73,0,0
"685","228850","레이언스",11860,-200,-1.66,919,12.91,1370,8.66,12746,0.93,100,0.84
"686","412350","레이저쎌",9520,110,1.17,NA,NA,NA,NA,1739,5.47,0,0
"687","281740","레이크머티리얼즈",5720,-60,-1.04,275,20.8,563,10.15,884,6.47,0,0
"688","277810","레인보우로보틱스",72300,-500,-0.69,NA,NA,NA,NA,2895,24.97,0,0
"689","215100","로보로보",7190,70,0.98,NA,NA,NA,NA,1497,4.8,0,0
"690","090360","로보스타",29250,250,0.86,168,174.11,NA,NA,8829,3.31,0,0
"691","108490","로보티즈",30950,2700,9.56,65,476.15,NA,NA,6164,5.02,0,0
"692","067730","로지시스",4530,-90,-1.95,215,21.07,NA,NA,1942,2.33,150,3.31
"693","071280","로체시스템즈",8950,-230,-2.51,634,14.12,NA,NA,5602,1.6,20,0.22
"694","032350","롯데관광개발",13920,-240,-1.69,NA,NA,NA,NA,811,17.16,0,0
"695","089860","롯데렌탈",26950,-650,-2.36,3687,7.31,3247,8.3,33557,0.8,900,3.34
"696","000400","롯데손해보험",1549,-5,-0.32,379,4.09,NA,NA,3242,0.48,0,0
"697","023530","롯데쇼핑",88200,-1200,-1.34,NA,NA,6184,14.26,356677,0.25,2800,3.17
"698","004000","롯데정밀화학",59400,-1600,-2.62,22986,2.58,10716,5.54,86322,0.69,2300,3.87
"699","286940","롯데정보통신",28000,-400,-1.41,2291,12.22,2673,10.47,28633,0.98,700,2.5
"700","280360","롯데제과",120000,-1000,-0.83,5442,22.05,11306,10.61,192466,0.62,1600,1.33
"701","004990","롯데지주",31250,-100,-0.32,4315,7.24,3940,7.93,97570,0.32,1500,4.8
"702","00499K","롯데지주우",41450,0,0,NA,NA,NA,NA,NA,NA,1550,3.74
"703","005300","롯데칠성",168800,-1200,-0.71,13341,12.65,16479,10.24,143885,1.17,3000,1.78
"704","005305","롯데칠성우",72800,-700,-0.95,NA,NA,NA,NA,NA,NA,3005,4.13
"705","011170","롯데케미칼",189700,-900,-0.47,37395,5.07,9297,20.4,400457,0.47,8300,4.38
"706","071840","롯데하이마트",13630,-50,-0.37,NA,NA,NA,NA,78984,0.17,1000,7.34
"707","328130","루닛",37050,-1150,-3.01,NA,NA,NA,NA,187,198.13,0,0
"708","038060","루멘스",1247,3,0.24,NA,NA,NA,NA,1568,0.8,0,0
"709","085370","루트로닉",24450,-300,-1.21,1096,22.31,2065,11.84,4715,5.19,192,0.79
"710","08537M","루트로닉3우C",33150,-2000,-5.69,NA,NA,NA,NA,NA,NA,302,0.91
"711","060240","룽투코리아",2905,-95,-3.17,NA,NA,NA,NA,2583,1.12,0,0
"712","058470","리노공업",162800,-4500,-2.69,6839,23.8,9099,17.89,27518,5.92,2500,1.54
"713","039980","리노스",1013,-15,-1.46,23,44.04,NA,NA,1604,0.63,0,0
"714","019570","리더스 기술투자",404,5,1.25,NA,NA,NA,NA,397,1.02,0,0
"715","016100","리더스코스메틱",3725,-70,-1.84,NA,NA,NA,NA,3039,1.23,0,0
"716","012700","리드코프",7590,0,0,1570,4.83,NA,NA,16788,0.45,800,10.54
"717","302550","리메드",14110,-250,-1.74,123,114.72,NA,NA,4259,3.31,0,0
"718","377450","리파인",9120,-160,-1.72,1230,7.41,NA,NA,7964,1.15,0,0
"719","277070","린드먼아시아",8020,-260,-3.14,398,20.15,NA,NA,4011,2,42,0.52
"720","042500","링네트",5150,-200,-3.74,674,7.64,NA,NA,5940,0.87,0,0
"721","219420","링크제니시스",7240,-350,-4.61,394,18.38,NA,NA,3532,2.05,0,0
"722","027740","마니커",1362,13,0.96,NA,NA,NA,NA,745,1.83,0,0
"723","195500","마니커에프앤지",3570,-20,-0.56,NA,NA,NA,NA,4090,0.87,0,0
"724","305090","마이크로디지탈",4745,645,15.73,NA,NA,NA,NA,817,5.81,0,0
"725","098120","마이크로컨텍솔",6150,-210,-3.3,904,6.8,NA,NA,5012,1.23,30,0.49
"726","147760","마이크로프랜드",5370,-70,-1.29,726,7.4,NA,NA,5148,1.04,0,0
"727","377480","마인즈랩",22700,-1000,-4.22,389,58.35,NA,NA,4928,4.61,0,0
"728","038290","마크로젠",19820,-230,-1.15,114,173.86,NA,NA,20290,0.98,300,1.51
"729","001080","만호제강",44150,-650,-1.45,2168,20.36,NA,NA,79971,0.55,250,0.57
"730","267980","매일유업",50000,-1000,-1.96,9820,5.09,7740,6.46,67256,0.74,1200,2.4
"731","005990","매일홀딩스",8880,230,2.66,3575,2.48,NA,NA,26268,0.34,150,1.69
"732","093520","매커스",10390,540,5.48,2076,5,1567,6.63,6623,1.57,120,1.15
"733","377030","맥스트",14120,-460,-3.16,NA,NA,NA,NA,869,16.25,0,0
"734","100590","머큐리",5860,-100,-1.68,383,15.3,504,11.64,5858,1,0,0
"735","067280","멀티캠퍼스",38800,-200,-0.51,3439,11.28,NA,NA,23142,1.68,600,1.55
"736","072870","메가스터디",10730,30,0.28,2145,5,NA,NA,25244,0.43,600,5.59
"737","215200","메가스터디교육",69100,1600,2.37,6893,10.02,11023,6.27,28762,2.4,2000,2.89
"738","133750","메가엠디",2985,-25,-0.83,301,9.92,NA,NA,3017,0.99,150,5.03
"739","235980","메드팩토",20100,-550,-2.66,NA,NA,NA,NA,2089,9.62,0,0
"740","041920","메디아나",5100,-80,-1.54,550,9.27,NA,NA,4936,1.03,27,0.53
"741","014100","메디앙스",3060,-75,-2.39,378,8.1,NA,NA,8055,0.38,0,0
"742","054180","메디콕스",1721,-91,-5.02,NA,NA,NA,NA,3504,0.49,0,0
"743","086900","메디톡스",210000,3000,1.45,14716,14.27,6740,31.16,57905,3.63,0,0
"744","078160","메디포스트",16070,-370,-2.25,NA,NA,NA,NA,9878,1.63,0,0
"745","065650","메디프론",1518,-39,-2.5,NA,NA,NA,NA,970,1.56,0,0
"746","138040","메리츠금융지주",41150,-2250,-5.18,5932,6.94,NA,NA,29591,1.39,210,0.51
"747","008560","메리츠증권",6560,-370,-5.34,1201,5.46,NA,NA,8360,0.78,100,1.52
"748","021880","메이슨캐피탈",322,1,0.31,NA,NA,NA,NA,374,0.86,0,0
"749","140410","메지온",15950,-1180,-6.89,NA,NA,NA,NA,2355,6.77,0,0
"750","241770","메카로",11990,40,0.33,816,14.69,NA,NA,15088,0.79,160,1.33
"751","090370","메타랩스",3260,-100,-2.98,NA,NA,NA,NA,3520,0.93,0,0
"752","059210","메타바이오메드",2420,-20,-0.82,422,5.73,NA,NA,2547,0.95,20,0.83
"753","058110","멕아이씨에스",4630,-165,-3.44,607,7.63,NA,NA,4528,1.02,83,1.79
"754","096640","멜파스",1495,0,0,NA,NA,NA,NA,986,1.52,0,0
"755","017180","명문제약",2790,-20,-0.71,NA,NA,NA,NA,2374,1.18,0,0
"756","257370","명성티엔에스",9210,0,0,NA,NA,NA,NA,3306,2.79,0,0
"757","009900","명신산업",18080,-1110,-5.78,956,18.91,2399,7.54,5662,3.19,0,0
"758","012690","모나리자",3010,10,0.33,89,33.82,NA,NA,2058,1.46,0,0
"759","005360","모나미",3555,-30,-0.84,827,4.3,NA,NA,5405,0.66,100,2.81
"760","080420","모다이노칩",3185,-45,-1.39,144,22.12,NA,NA,4454,0.72,0,0
"761","417970","모델솔루션",21300,-450,-2.07,1391,15.31,NA,NA,4963,4.29,0,0
"762","080160","모두투어",19700,-700,-3.43,1012,19.47,801,24.59,4007,4.92,0,0
"763","087260","모바일어플라이언스",3035,-90,-2.88,77,39.42,NA,NA,1347,2.25,0,0
"764","101330","모베이스",3400,-90,-2.58,249,13.65,NA,NA,12025,0.28,0,0
"765","012860","모베이스전자",1536,45,3.02,131,11.73,NA,NA,2596,0.59,0,0
"766","363260","모비데이즈",1060,-80,-7.02,NA,NA,NA,NA,NA,NA,0,0
"767","348030","모비릭스",12730,-150,-1.16,1083,11.75,NA,NA,7911,1.61,0,0
"768","250060","모비스",1762,-34,-1.89,NA,NA,NA,NA,933,1.89,0,0
"769","288980","모아데이타",4100,5,0.12,57,71.93,NA,NA,707,5.8,0,0
"770","033200","모아텍",5750,-70,-1.2,NA,NA,NA,NA,7713,0.75,0,0
"771","333050","모코엠시스",1877,-63,-3.25,NA,NA,134,14.04,NA,NA,0,0
"772","009680","모토닉",8610,-20,-0.23,548,15.71,NA,NA,19169,0.45,400,4.65
"773","118990","모트렉스",17210,830,5.07,504,34.15,NA,NA,5680,3.03,0,0
"774","006920","모헨즈",4130,-130,-3.05,NA,NA,NA,NA,2111,1.96,0,0
"775","009580","무림P&P",4200,-90,-2.1,298,14.09,1812,2.32,9788,0.43,125,2.98
"776","001810","무림SP",2700,10,0.37,190,14.21,NA,NA,9520,0.28,25,0.93
"777","009200","무림페이퍼",2495,-45,-1.77,NA,NA,NA,NA,9473,0.26,25,1
"778","033920","무학",5650,-170,-2.92,NA,NA,NA,NA,18822,0.3,230,4.07
"779","008420","문배철강",3705,-90,-2.37,1295,2.86,NA,NA,7298,0.51,75,2.02
"780","279600","미디어젠",13230,-970,-6.83,34,389.12,NA,NA,3785,3.5,0,0
"781","095500","미래나노텍",21200,-600,-2.75,940,22.55,NA,NA,8392,2.53,100,0.47
"782","254490","미래반도체",18200,-530,-2.83,1376,13.23,NA,NA,3647,4.99,0,0
"783","025560","미래산업",14700,180,1.24,1843,7.98,NA,NA,19102,0.77,0,0
"784","218150","미래생명자원",4550,130,2.94,64,71.09,NA,NA,1854,2.45,0,0
"785","007120","미래아이앤지",445,-13,-2.84,NA,NA,NA,NA,552,0.81,0,0
"786","353490","미래에셋대우스팩 5호",2035,0,0,NA,NA,NA,NA,NA,NA,0,0
"787","100790","미래에셋벤처투자",5760,-260,-4.32,1660,3.47,NA,NA,5131,1.12,83,1.44
"788","412930","미래에셋비전스팩1호",2150,10,0.47,NA,NA,NA,NA,NA,NA,0,0
"789","085620","미래에셋생명",2885,-25,-0.86,604,4.78,NA,NA,14579,0.2,100,3.47
"790","006800","미래에셋증권",7070,-190,-2.62,1803,3.92,888,7.96,16780,0.42,300,4.24
"791","00680K","미래에셋증권2우B",3675,-25,-0.68,NA,NA,NA,NA,NA,NA,300,8.16
"792","006805","미래에셋증권우",4285,-25,-0.58,NA,NA,NA,NA,NA,NA,330,7.7
"793","049950","미래컴퍼니",22500,-600,-2.6,817,27.54,NA,NA,13221,1.7,100,0.44
"794","207760","미스터블루",3025,-130,-4.12,91,33.24,NA,NA,879,3.44,25,0.83
"795","002840","미원상사",181700,1900,1.06,11641,15.61,NA,NA,59795,3.04,6000,3.3
"796","268280","미원에스씨",141000,-1100,-0.77,15897,8.87,NA,NA,65109,2.17,2100,1.49
"797","107590","미원홀딩스",100600,-2200,-2.14,14308,7.03,NA,NA,87327,1.15,500,0.5
"798","134380","미원화학",64300,0,0,5571,11.54,NA,NA,58718,1.1,2500,3.89
"799","003650","미창석유",71400,-1100,-1.52,21903,3.26,NA,NA,199594,0.36,2500,3.5
"800","059090","미코",8060,-240,-2.89,NA,NA,NA,NA,6192,1.3,70,0.87
"801","214610","미코바이오메드",3990,-110,-2.68,NA,NA,NA,NA,2857,1.4,0,0
"802","201490","미투온",4185,-140,-3.24,293,14.28,NA,NA,3262,1.28,0,0
"803","206640","바디텍메드",11650,-200,-1.69,1937,6.01,NA,NA,6688,1.74,200,1.72
"804","018700","바른손",2795,-10,-0.36,559,5,NA,NA,2171,1.29,0,0
"805","035620","바른손이앤에이",976,-21,-2.11,122,8,NA,NA,1485,0.66,0,0
"806","053030","바이넥스",10770,-300,-2.71,614,17.54,613,17.56,5834,1.85,0,0
"807","301300","바이브컴퍼니",26450,-2000,-7.03,NA,NA,NA,NA,5853,4.52,0,0
"808","377740","바이오노트",8140,-230,-2.75,7232,1.13,NA,NA,13602,0.6,534,6.56
"809","064550","바이오니아",50300,1900,3.93,1073,46.88,NA,NA,7867,6.39,0,0
"810","314930","바이오다인",25200,-400,-1.56,NA,NA,NA,NA,6546,3.85,0,0
"811","208710","바이오로그디바이스",950,-31,-3.16,NA,NA,NA,NA,1195,0.79,0,0
"812","086820","바이오솔루션",11700,-300,-2.5,NA,NA,NA,NA,5635,2.08,0,0
"813","038460","바이오스마트",3605,-70,-1.9,73,49.38,NA,NA,5162,0.7,0,0
"814","251120","바이오에프디엔씨",17090,-60,-0.35,394,43.38,596,28.67,2148,7.96,0,0
"815","086040","바이오톡스텍",8110,-130,-1.58,487,16.65,NA,NA,2811,2.89,0,0
"816","099430","바이오플러스",7470,-140,-1.84,206,36.26,457,16.33,1406,5.31,0,0
"817","032980","바이온",1149,-21,-1.79,NA,NA,NA,NA,996,1.15,0,0
"818","222160","바이옵트로",5790,-230,-3.82,60,96.5,NA,NA,2907,1.99,0,0
"819","308080","바이젠셀",7080,-110,-1.53,NA,NA,NA,NA,5565,1.27,0,0
"820","043150","바텍",33600,-550,-1.61,3449,9.74,4836,6.95,18394,1.83,100,0.3
"821","323990","박셀바이오",37050,-50,-0.13,NA,NA,NA,NA,1976,18.75,0,0
"822","003610","방림",6500,40,0.62,191,34.03,NA,NA,5145,1.26,45,0.69
"823","267790","배럴",8580,-60,-0.69,NA,NA,NA,NA,4611,1.86,0,0
"824","001340","백광산업",5030,-40,-0.79,337,14.93,NA,NA,4293,1.17,50,0.99
"825","046310","백금T&A",3705,130,3.64,354,10.47,NA,NA,2638,1.4,0,0
"826","035150","백산",8800,-80,-0.9,797,11.04,NA,NA,6016,1.46,100,1.14
"827","331520","밸로프",1440,-33,-2.24,NA,NA,NA,NA,NA,NA,0,0
"828","066410","버킷스튜디오",1238,-48,-3.73,1217,1.02,NA,NA,2485,0.5,0,0
"829","002410","범양건영",3540,-135,-3.67,194,18.25,NA,NA,3456,1.02,0,0
"830","382900","범한퓨얼셀",28300,-750,-2.58,617,45.87,687,41.21,3756,7.53,0,0
"831","206400","베노홀딩스",2715,-5,-0.18,367,7.4,NA,NA,3105,0.87,0,0
"832","019010","베뉴지",2250,-20,-0.88,1036,2.17,NA,NA,7537,0.3,30,1.33
"833","177350","베셀",5790,70,1.22,718,8.06,NA,NA,3268,1.77,0,0
"834","299910","베스파",3165,0,0,NA,NA,NA,NA,NA,NA,0,0
"835","007210","벽산",2345,-90,-3.7,NA,NA,NA,NA,4049,0.58,10,0.43
"836","225530","보광산업",6030,-10,-0.17,269,22.42,NA,NA,2321,2.6,150,2.49
"837","250000","보라티알",11010,-120,-1.08,955,11.53,NA,NA,9223,1.19,200,1.82
"838","002760","보락",1720,-39,-2.22,28,61.43,NA,NA,760,2.26,5,0.29
"839","003850","보령",9040,-150,-1.63,689,13.12,570,15.85,7192,1.26,100,1.11
"840","310210","보로노이",29050,-150,-0.51,NA,NA,NA,NA,634,45.82,0,0
"841","006910","보성파워텍",3910,-75,-1.88,NA,NA,NA,NA,1872,2.09,0,0
"842","000890","보해양조",663,-3,-0.45,NA,NA,NA,NA,611,1.09,0,0
"843","226340","본느",1822,-21,-1.14,NA,NA,NA,NA,730,2.5,0,0
"844","003000","부광약품",9000,-250,-2.7,NA,NA,NA,NA,3938,2.29,100,1.11
"845","001270","부국증권",19530,100,0.51,8672,2.25,NA,NA,74017,0.26,1600,8.19
"846","001275","부국증권우",18480,-10,-0.05,NA,NA,NA,NA,NA,NA,1650,8.93
"847","026940","부국철강",3625,-95,-2.55,440,8.24,NA,NA,6021,0.6,75,2.07
"848","014470","부방",2215,-35,-1.56,NA,NA,NA,NA,2920,0.76,0,0
"849","011390","부산산업",74900,-2200,-2.85,NA,NA,NA,NA,52585,1.42,250,0.33
"850","005030","부산주공",545,-18,-3.2,NA,NA,NA,NA,351,1.55,0,0
"851","008470","부스타",5180,-80,-1.52,280,18.5,NA,NA,9871,0.52,60,1.16
"852","338220","뷰노",10080,-600,-5.62,NA,NA,NA,NA,2016,5,0,0
"853","100120","뷰웍스",31450,150,0.48,3575,8.8,4088,7.69,20479,1.54,750,2.38
"854","337930","브랜드엑스코퍼레이션",5820,-150,-2.51,267,21.8,NA,NA,2324,2.5,100,1.72
"855","099390","브레인즈컴퍼니",10120,-520,-4.89,655,15.45,NA,NA,4960,2.04,120,1.19
"856","064480","브리지텍",8750,-300,-3.31,245,35.71,NA,NA,3458,2.53,120,1.37
"857","288330","브릿지바이오테라퓨틱스",8430,-590,-6.54,NA,NA,NA,NA,2184,3.86,0,0
"858","365900","브이씨",8200,400,5.13,1251,6.55,NA,NA,5468,1.5,0,0
"859","251630","브이원텍",7950,60,0.76,818,9.72,NA,NA,6700,1.19,100,1.26
"860","018290","브이티지엠피",5460,-110,-1.97,456,11.97,NA,NA,2368,2.31,0,0
"861","044480","블레이드 Ent",1411,-69,-4.66,NA,NA,NA,NA,1430,0.99,0,0
"862","033560","블루콤",5580,-310,-5.26,4,1395,NA,NA,9373,0.6,5,0.09
"863","369370","블리츠웨이",2255,-65,-2.8,NA,NA,NA,NA,458,4.92,0,0
"864","126340","비나텍",44000,-500,-1.12,1351,32.57,NA,NA,8971,4.9,0,0
"865","121800","비덴트",3955,-220,-5.27,4876,0.81,NA,NA,12509,0.32,0,0
"866","148140","비디아이",640,0,0,NA,NA,NA,NA,262,2.44,0,0
"867","082800","비보존 제약",1450,-37,-2.49,NA,NA,NA,NA,501,2.89,0,0
"868","318410","비비씨",9360,-70,-0.74,635,14.74,NA,NA,12802,0.73,0,0
"869","002070","비비안",1330,-34,-2.49,NA,NA,NA,NA,3466,0.38,0,0
"870","100220","비상교육",6320,-70,-1.1,494,12.79,NA,NA,16316,0.39,220,3.48
"871","419540","비스토스",2810,65,2.37,NA,NA,NA,NA,NA,NA,0,0
"872","146320","비씨엔씨",16200,-160,-0.98,810,20,NA,NA,3042,5.33,0,0
"873","200780","비씨월드제약",7930,-20,-0.25,360,22.03,NA,NA,12219,0.65,100,1.26
"874","141000","비아트론",9790,-190,-1.9,1175,8.33,NA,NA,13359,0.73,100,1.02
"875","090460","비에이치",24000,-950,-3.81,2630,9.13,3689,6.51,13066,1.84,250,1.04
"876","083650","비에이치아이",6190,-160,-2.52,NA,NA,NA,NA,2475,2.5,0,0
"877","032790","비엔지티",3900,-200,-4.88,266,14.66,NA,NA,1508,2.59,0,0
"878","445360","비엔케이제1호스팩",2065,5,0.24,NA,NA,NA,NA,NA,NA,0,0
"879","142760","비엘",4200,-145,-3.34,NA,NA,NA,NA,1475,2.85,0,0
"880","065170","비엘팜텍",696,-18,-2.52,NA,NA,NA,NA,657,1.06,0,0
"881","086670","비엠티",15060,-70,-0.46,707,21.3,NA,NA,9941,1.51,150,1
"882","335890","비올",4995,35,0.71,80,62.44,328,15.23,463,10.79,0,0
"883","138580","비즈니스온",9020,-320,-3.43,261,34.56,NA,NA,2830,3.19,200,2.22
"884","082920","비츠로셀",15130,-160,-1.05,796,19.01,1570,9.64,7827,1.93,150,0.99
"885","054220","비츠로시스",839,-37,-4.22,218,3.85,NA,NA,559,1.5,0,0
"886","042370","비츠로테크",7080,-170,-2.34,500,14.16,NA,NA,7930,0.89,50,0.71
"887","030790","비케이탑스",904,0,0,NA,NA,NA,NA,333,2.71,0,0
"888","050090","비케이홀딩스",437,-12,-2.67,NA,NA,NA,NA,318,1.37,0,0
"889","307870","비투엔",2205,-65,-2.86,NA,NA,NA,NA,602,3.66,0,0
"890","357880","비트나인",12190,-580,-4.54,140,87.07,NA,NA,3227,3.78,0,0
"891","032850","비트컴퓨터",6610,-220,-3.22,294,22.48,NA,NA,3566,1.85,61,0.92
"892","148780","비플라이소프트",1460,-58,-3.82,NA,NA,NA,NA,88,16.59,0,0
"893","238200","비피도",7820,-200,-2.49,551,14.19,NA,NA,6191,1.26,0,0
"894","093190","빅솔론",7240,-90,-1.23,1594,4.54,NA,NA,10580,0.68,250,3.45
"895","065450","빅텍",5580,0,0,184,30.33,NA,NA,2034,2.74,30,0.54
"896","005180","빙그레",42300,-100,-0.24,NA,NA,3181,13.3,63095,0.67,1400,3.31
"897","072950","빛샘전자",6320,-140,-2.17,676,9.35,NA,NA,10695,0.59,100,1.58
"898","143240","사람인에이치알",25750,-350,-1.34,2902,8.87,NA,NA,13729,1.88,600,2.33
"899","003960","사조대림",27950,-400,-1.41,8528,3.28,NA,NA,57550,0.49,300,1.07
"900","008040","사조동아원",971,15,1.57,18,53.94,NA,NA,1617,0.6,0,0
"901","007160","사조산업",47300,-800,-1.66,9031,5.24,NA,NA,90026,0.53,300,0.63
"902","014710","사조씨푸드",5500,-200,-3.51,572,9.62,NA,NA,13357,0.41,60,1.09
"903","006090","사조오양",8520,30,0.35,1674,5.09,NA,NA,20876,0.41,200,2.35
"904","419120","산돌",14220,-660,-4.44,88,161.59,NA,NA,3052,4.66,2476,17.41
"905","122350","삼기",3490,-80,-2.24,NA,NA,NA,NA,3677,0.95,30,0.86
"906","419050","삼기이브이",19630,-1370,-6.52,NA,NA,NA,NA,2976,6.6,0,0
"907","014970","삼륭물산",5200,-70,-1.33,NA,NA,NA,NA,4184,1.24,75,1.44
"908","018310","삼목에스폼",17190,-380,-2.16,2432,7.07,NA,NA,29100,0.59,100,0.58
"909","053700","삼보모터스",5470,-70,-1.26,728,7.51,NA,NA,12923,0.42,50,0.91
"910","009620","삼보산업",1007,-44,-4.19,NA,NA,NA,NA,666,1.51,0,0
"911","023600","삼보판지",10660,-10,-0.09,3327,3.2,NA,NA,27697,0.38,175,1.64
"912","001470","삼부토건",1437,-46,-3.1,59,24.36,NA,NA,1670,0.86,0,0
