"","종목코드","종목명","종가","대비","등락률","시장구분","업종명","시가총액","EPS","PER","선행.EPS","선행.PER","BPS","PBR","주당배당금","배당수익률"
"46","377300","카카오페이",61600,-600,-0.96,"KOSPI","기타금융",8234762844000,NA,NA,243,253.97,12839,4.8,0,0
"47","011170","롯데케미칼",189700,-900,-0.47,"KOSPI","화학",8114496984300,37395,5.07,9297,20.4,400457,0.47,8300,4.38
"48","024110","기업은행",10060,-110,-1.08,"KOSPI","은행",8022104242140,2877,3.5,3846,2.62,34345,0.29,780,7.75
"49","009830","한화솔루션",41100,-2050,-4.75,"KOSPI","화학",7861546226700,3320,12.38,4334,9.48,42563,0.97,0,0
"50","352820","하이브",187700,5600,3.08,"KOSPI","서비스업",7762030739900,3625,51.78,5247,35.77,67998,2.76,0,0
"51","138040","메리츠금융지주",41150,-2250,-5.18,"KOSPI","기타금융",7170172285500,5932,6.94,NA,NA,29591,1.39,210,0.51
"52","011070","LG이노텍",286000,-7500,-2.56,"KOSPI","전기전자",6768792602000,37537,7.62,43796,6.53,140050,2.04,3000,1.05
"53","009540","한국조선해양",85500,700,0.83,"KOSPI","운수장비",6051101418000,NA,NA,7835,10.91,139385,0.61,0,0
"54","086280","현대글로비스",160000,-2500,-1.54,"KOSPI","운수창고업",6e+12,20877,7.66,32626,4.9,154732,1.03,3800,2.38
"55","086520","에코프로",237500,-11000,-4.43,"KOSDAQ","금융",5998662187500,11205,21.2,25128,9.45,45865,5.18,430,0.18
"56","034220","LG디스플레이",15620,-730,-4.46,"KOSPI","전기전자",5589081234000,3315,4.71,NA,NA,36664,0.43,650,4.16
"57","302440","SK바이오사이언스",72300,-1000,-1.36,"KOSPI","의약품",5551486525800,4844,14.93,708,102.17,20932,3.45,0,0
"58","383220","F&F",142400,-2400,-1.66,"KOSPI","섬유의복",5454927480000,6061,23.49,13655,10.43,14307,9.95,1100,0.77
"59","028050","삼성엔지니어링",27250,-550,-1.98,"KOSPI","서비스업",5.341e+12,1900,14.34,2928,9.31,10216,2.67,0,0
"60","326030","SK바이오팜",66500,-1200,-1.77,"KOSPI","서비스업",5207831125000,828,80.31,NA,NA,5672,11.72,0,0
"61","402340","SK스퀘어",36600,-1300,-3.43,"KOSPI","기타금융",5177713098600,2653,13.8,252,145.17,117868,0.31,0,0
"62","251270","넷마블",59700,-2200,-3.55,"KOSPI","서비스업",5131424069400,2933,20.35,158,377.33,70683,0.84,528,0.88
"63","010140","삼성중공업",5830,-10,-0.17,"KOSPI","운수장비",5.1304e+12,NA,NA,183,31.94,4813,1.21,0,0
"64","004020","현대제철",37800,-500,-1.31,"KOSPI","철강금속",5044250673000,11110,3.4,6702,5.64,135836,0.28,1000,2.65
"65","018880","한온시스템",9150,-50,-0.54,"KOSPI","기계",4.88427e+12,578,15.83,573,15.97,4391,2.08,360,3.93
"66","271560","오리온",123100,400,0.33,"KOSPI","음식료품",4866897849200,6519,18.88,9357,13.16,55935,2.2,750,0.61
"67","005830","DB손해보험",68400,1100,1.63,"KOSPI","보험",4.84272e+12,14482,4.72,14080,4.86,110605,0.62,3500,5.12
"68","097950","CJ제일제당",319000,-10500,-3.19,"KOSPI","음식료품",4802285334000,38246,8.34,41542,7.68,381542,0.84,5000,1.57
"69","267250","HD현대",60700,-1000,-1.62,"KOSPI","화학",4794880259500,NA,NA,16427,3.7,89404,0.68,5550,9.14
"70","032640","LG유플러스",10960,40,0.37,"KOSPI","통신업",4785260516560,1642,6.67,1723,6.36,17852,0.61,550,5.02
"71","161390","한국타이어앤테크놀로지",38150,-400,-1.04,"KOSPI","화학",4725833882350,4901,7.78,5460,6.99,66955,0.57,700,1.83
"72","011780","금호석유",159100,-2300,-1.43,"KOSPI","화학",4663907039200,70433,2.26,18853,8.44,181037,0.88,10000,6.29
"73","361610","SK아이이테크놀로지",65100,-2300,-3.41,"KOSPI","전기전자",4641473239200,1394,46.7,815,79.85,31084,2.09,0,0
"74","047810","한국항공우주",45750,-650,-1.4,"KOSPI","운수장비",4459486145250,656,69.74,2460,18.6,13023,3.51,200,0.44
"75","035250","강원랜드",20550,-400,-1.91,"KOSPI","서비스업",4396477275000,NA,NA,1481,13.88,16044,1.28,0,0
"76","012450","한화에어로스페이스",86600,-1200,-1.37,"KOSPI","운수장비",4.384558e+12,4989,17.36,6702,12.92,57134,1.52,700,0.81
"77","006800","미래에셋증권",7070,-190,-2.62,"KOSPI","증권",4350287004560,1803,3.92,888,7.96,16780,0.42,300,4.24
"78","000720","현대건설",38450,-650,-1.66,"KOSPI","건설업",4281629164250,3625,10.61,4748,8.1,64200,0.6,600,1.56
"79","047050","포스코인터내셔널",24050,500,2.12,"KOSPI","유통업",4230943051400,2924,8.23,3358,7.16,28259,0.85,800,3.33
"80","008560","메리츠증권",6560,-370,-5.34,"KOSPI","증권",4034666198240,1201,5.46,NA,NA,8360,0.78,100,1.52
"81","028300","HLB",34450,-2900,-7.76,"KOSDAQ","제약",4012249876050,NA,NA,NA,NA,3850,8.95,0,0
"82","021240","코웨이",54300,-300,-0.55,"KOSPI","서비스업",4007319311700,6418,8.46,7281,7.46,26268,2.07,1250,2.3
"83","000100","유한양행",51300,-500,-0.97,"KOSPI","의약품",3931563104100,1431,35.85,1506,34.06,27069,1.9,400,0.78
"84","293490","카카오게임즈",47700,-800,-1.65,"KOSDAQ","디지털컨텐츠",3925651996800,7073,6.74,2157,22.11,27171,1.76,0,0
"85","078930","GS",42000,-500,-1.18,"KOSPI","기타금융",3902445876000,15304,2.74,17943,2.34,108672,0.39,2000,4.76
"86","241560","두산밥캣",38550,250,0.65,"KOSPI","기계",3864605349300,3845,10.03,5876,6.56,43105,0.89,1200,3.11
"87","011790","SKC",94400,-6300,-6.26,"KOSPI","화학",3574767331200,6174,15.29,2676,35.28,55782,1.69,1100,1.17
"88","029780","삼성카드",30450,-300,-0.98,"KOSPI","기타금융",3527903230950,5164,5.9,5005,6.08,70408,0.43,2300,7.55
"89","028670","팬오션",6400,100,1.59,"KOSPI","운수창고업",3421244876800,1028,6.23,1123,5.7,6728,0.95,100,1.56
"90","002790","아모레G",41050,-300,-0.73,"KOSPI","화학",3384908289000,1989,20.64,1879,21.84,36853,1.11,450,1.1
"91","071050","한국금융지주",59800,-1400,-2.29,"KOSPI","기타금융",3332414321600,30208,1.98,12434,4.81,126688,0.47,6150,10.28
"92","139480","이마트",118100,-900,-0.76,"KOSPI","유통업",3292134223900,56152,2.1,11958,9.88,369202,0.32,2000,1.69
