"","종목코드","종목명","종가","대비","등락률","시장구분","업종명","시가총액","EPS","PER","선행.EPS","선행.PER","BPS","PBR","주당배당금","배당수익률"
"601","004700","조광피혁",48000,200,0.42,"KOSPI","기타제조업",319158624000,3153,15.22,NA,NA,106105,0.45,300,0.63
"602","053610","프로텍",29000,550,1.93,"KOSDAQ","반도체",3.19e+11,4829,6.01,NA,NA,25641,1.13,400,1.38
"603","058820","CMG제약",2290,-30,-1.29,"KOSDAQ","제약",318063238760,23,99.57,NA,NA,1330,1.72,0,0
"604","077970","STX엔진",13760,240,1.78,"KOSPI","기계",316602519040,2,6880,NA,NA,10271,1.34,0,0
"605","078590","디아크",2380,0,0,"KOSDAQ","운송장비·부품",316556560040,NA,NA,NA,NA,201,11.84,0,0
"606","027360","아주IB투자",2620,-90,-3.32,"KOSDAQ","금융",316556144720,339,7.73,NA,NA,2144,1.22,100,3.82
"607","206560","덱스터",12430,-270,-2.13,"KOSDAQ","오락·문화",315850476480,NA,NA,NA,NA,2329,5.34,0,0
"608","040300","YTN",7500,100,1.35,"KOSDAQ","방송서비스",3.15e+11,1228,6.11,NA,NA,5759,1.3,50,0.67
"609","100120","뷰웍스",31450,150,0.48,"KOSDAQ","의료·정밀기기",314558654250,3575,8.8,4088,7.69,20479,1.54,750,2.38
"610","005810","풍산홀딩스",30200,350,1.17,"KOSPI","기타금융",314367745600,17743,1.7,NA,NA,91007,0.33,1400,4.64
"611","256840","한국비엔씨",4640,-170,-3.53,"KOSDAQ","제약",313582744320,NA,NA,NA,NA,952,4.87,0,0
"612","100790","미래에셋벤처투자",5760,-260,-4.32,"KOSDAQ","금융",312003936000,1660,3.47,NA,NA,5131,1.12,83,1.44
"613","003070","코오롱글로벌",16460,-420,-2.49,"KOSPI","건설업",311632455980,5454,3.02,NA,NA,23514,0.7,500,3.04
"614","237880","클리오",17210,-130,-0.75,"KOSDAQ","화학",311007985130,552,31.18,987,17.44,9911,1.74,150,0.87
"615","008350","남선알미늄",2405,-55,-2.24,"KOSPI","철강금속",310435211450,377,6.38,NA,NA,2135,1.13,0,0
"616","013120","동원개발",3405,-35,-1.02,"KOSDAQ","건설",309201580500,799,4.26,NA,NA,10534,0.32,150,4.41
"617","010690","화신",8850,-120,-1.34,"KOSPI","운수장비",309045628500,741,11.94,3084,2.87,8760,1.01,70,0.79
"618","002030","아세아",141000,-3800,-2.62,"KOSPI","서비스업",308934384000,56785,2.48,NA,NA,491013,0.29,3000,2.13
"619","060280","큐렉소",7930,-180,-2.22,"KOSDAQ","유통",308533223700,NA,NA,NA,NA,1283,6.18,0,0
"620","048530","인트론바이오",9020,-50,-0.55,"KOSDAQ","제약",308039873240,288,31.32,NA,NA,3005,3,0,0
"621","265520","AP시스템",20150,-100,-0.49,"KOSDAQ","반도체",307920633150,3932,5.12,NA,NA,12713,1.58,240,1.19
"622","307750","국전약품",6240,-130,-2.04,"KOSDAQ","제약",306192238560,91,68.57,NA,NA,1695,3.68,10,0.16
"623","002960","한국쉘석유",235500,-2500,-1.05,"KOSPI","화학",3.0615e+11,22343,10.54,NA,NA,84273,2.79,19000,8.07
"624","200710","에이디테크놀로지",22950,4210,22.47,"KOSDAQ","반도체",306022804650,1146,20.03,NA,NA,12300,1.87,70,0.31
"625","053690","한미글로벌",27850,-1250,-4.3,"KOSPI","서비스업",305167767500,1537,18.12,NA,NA,14014,1.99,450,1.62
"626","206650","유바이오로직스",8370,-260,-3.01,"KOSDAQ","제약",305043034590,NA,NA,NA,NA,3308,2.53,0,0
"627","217330","싸이토젠",17060,-20,-0.12,"KOSDAQ","기타서비스",304838111280,NA,NA,NA,NA,1324,12.89,0,0
"628","000490","대동",12720,20,0.16,"KOSPI","기계",304419542880,1619,7.86,NA,NA,16953,0.75,80,0.63
"629","009290","광동제약",5800,-120,-2.03,"KOSPI","의약품",304040935800,585,9.91,NA,NA,12151,0.48,100,1.72
"630","101360","에코앤드림",28550,-1250,-4.19,"KOSDAQ","화학",303447557800,992,28.78,NA,NA,7068,4.04,0,0
"631","037710","광주신세계",37800,-50,-0.13,"KOSPI","유통업",3.024e+11,6584,5.74,NA,NA,93727,0.4,1700,4.5
"632","002710","TCC스틸",11870,-200,-1.66,"KOSPI","철강금속",301332045530,1242,9.56,NA,NA,6507,1.82,150,1.26
"633","143240","사람인에이치알",25750,-350,-1.34,"KOSDAQ","인터넷",300612272250,2902,8.87,NA,NA,13729,1.88,600,2.33
"634","024720","한국콜마홀딩스",16160,-230,-1.4,"KOSPI","기타금융",300199779040,1181,13.68,NA,NA,31792,0.51,245,1.52
"635","226950","올릭스",21900,-350,-1.57,"KOSDAQ","기타서비스",300099204000,NA,NA,NA,NA,1352,16.2,0,0
"636","000050","경방",10930,0,0,"KOSPI","유통업",299648901100,872,12.53,NA,NA,30033,0.36,125,1.14
"637","213500","한솔제지",12570,-70,-0.55,"KOSPI","종이목재",299173240320,575,21.86,3625,3.47,28568,0.44,600,4.77
"638","030210","다올투자증권",4930,65,1.34,"KOSPI","증권",297348473560,2669,1.85,NA,NA,10191,0.48,250,5.07
"639","079370","제우스",28550,0,0,"KOSDAQ","기계·장비",296463200000,1581,18.06,NA,NA,24845,1.15,100,0.35
"640","360070","탑머티리얼",37100,-1300,-3.39,"KOSDAQ","일반전기전자",296219125300,770,48.18,NA,NA,4403,8.43,0,0
"641","003120","일성신약",111100,-1400,-1.24,"KOSPI","의약품",2.95526e+11,NA,NA,NA,NA,225529,0.49,750,0.68
"642","001500","현대차증권",9290,-100,-1.06,"KOSPI","증권",294609700980,3702,2.51,NA,NA,29950,0.31,800,8.61
"643","042600","새로닉스",23700,-1200,-4.82,"KOSDAQ","IT부품",294438703800,2337,10.14,NA,NA,8735,2.71,0,0
"644","285490","노바텍",27800,550,2.02,"KOSDAQ","기타제조",294008101800,3873,7.18,2922,9.51,11348,2.45,150,0.54
"645","093320","케이아이엔엑스",59900,-1500,-2.44,"KOSDAQ","인터넷",2.92312e+11,3254,18.41,NA,NA,25579,2.34,500,0.83
"646","052710","아모텍",30000,-400,-1.32,"KOSDAQ","IT부품",292302180000,NA,NA,1923,15.6,19024,1.58,0,0
"647","037070","파세코",14600,-330,-2.21,"KOSDAQ","일반전기전자",2.92e+11,957,15.26,NA,NA,5086,2.87,300,2.05
"648","018470","조일알미늄",2300,-70,-2.95,"KOSPI","철강금속",291252958300,161,14.29,NA,NA,1361,1.69,0,0
"649","335890","비올",4995,35,0.71,"KOSDAQ","의료·정밀기기",290376053280,80,62.44,328,15.23,463,10.79,0,0
"650","271980","제일약품",19740,-460,-2.28,"KOSPI","의약품",290274173280,NA,NA,NA,NA,11534,1.71,65,0.33
"651","036890","진성티이씨",12910,-310,-2.34,"KOSDAQ","기계·장비",290246079880,856,15.08,NA,NA,8441,1.53,200,1.55
"652","317330","덕산테코피아",15730,-220,-1.38,"KOSDAQ","반도체",289076942440,977,16.1,915,17.19,9481,1.66,0,0
"653","002150","도화엔지니어링",8540,-240,-2.73,"KOSPI","서비스업",287968800000,451,18.94,NA,NA,7976,1.07,280,3.28
"654","078070","유비쿼스홀딩스",15390,-10,-0.06,"KOSDAQ","금융",287741104920,1214,12.68,NA,NA,13634,1.13,350,2.27
"655","048870","시너지이노베이션",3475,-135,-3.74,"KOSDAQ","의료·정밀기기",287411495400,75,46.33,NA,NA,1433,2.42,0,0
"656","352480","씨앤씨인터내셔널",28500,-800,-2.73,"KOSDAQ","화학",285397318500,NA,NA,2297,12.41,11794,2.42,0,0
"657","090360","로보스타",29250,250,0.86,"KOSDAQ","기계·장비",285187500000,168,174.11,NA,NA,8829,3.31,0,0
"658","272550","삼양패키징",18050,-20,-0.11,"KOSPI","화학",284985511550,2132,8.47,NA,NA,22607,0.8,1000,5.54
"659","009680","모토닉",8610,-20,-0.23,"KOSPI","운수장비",2.8413e+11,548,15.71,NA,NA,19169,0.45,400,4.65
"660","001470","삼부토건",1437,-46,-3.1,"KOSPI","건설업",284056639875,59,24.36,NA,NA,1670,0.86,0,0
"661","078130","국일제지",2220,-65,-2.84,"KOSDAQ","종이·목재",283310790060,NA,NA,NA,NA,531,4.18,0,0
"662","031330","에스에이엠티",2830,-10,-0.35,"KOSDAQ","유통",282986039610,614,4.61,NA,NA,3185,0.89,200,7.07
"663","089970","에이피티씨",11760,-60,-0.51,"KOSDAQ","기계·장비",282011797200,2157,5.45,NA,NA,5297,2.22,1200,10.2
"664","100130","동국S&C",4935,-65,-1.3,"KOSDAQ","금속",282000705000,302,16.34,NA,NA,4872,1.01,100,2.03
"665","023410","유진기업",3645,-50,-1.35,"KOSDAQ","비금속",281798095635,1079,3.38,NA,NA,12368,0.29,170,4.66
"666","001460","BYC",451000,-18000,-3.84,"KOSPI","섬유의복",281701365000,35764,12.61,NA,NA,577324,0.78,1500,0.33
"667","126700","하이비젼시스템",18850,-340,-1.77,"KOSDAQ","의료·정밀기기",281658811200,3134,6.01,NA,NA,12989,1.45,150,0.8
"668","012030","DB",1398,53,3.94,"KOSPI","서비스업",281241158334,114,12.26,NA,NA,2292,0.61,0,0
"669","211270","AP위성",18630,-120,-0.64,"KOSDAQ","통신장비",280983323520,99,188.18,NA,NA,5714,3.26,70,0.38
"670","002020","코오롱",22250,-350,-1.55,"KOSPI","기타금융",280937978500,10125,2.2,NA,NA,64159,0.35,550,2.47
"671","419050","삼기이브이",19630,-1370,-6.52,"KOSDAQ","운송장비·부품",280690547800,NA,NA,NA,NA,2976,6.6,0,0
"672","411080","샌즈랩",18590,-220,-1.17,"KOSDAQ","소프트웨어",280620474420,61,304.75,NA,NA,406,45.79,0,0
"673","052400","코나아이",18700,-340,-1.79,"KOSDAQ","소프트웨어",280499981300,3594,5.2,NA,NA,9393,1.99,0,0
"674","042420","네오위즈홀딩스",31550,-350,-1.1,"KOSDAQ","디지털컨텐츠",279434122300,8825,3.58,NA,NA,59327,0.53,692,2.19
"675","419530","SAMG엔터",32500,-1950,-5.66,"KOSDAQ","오락·문화",279205225000,NA,NA,NA,NA,NA,NA,0,0
"676","117580","대성에너지",10150,200,2.01,"KOSPI","전기가스업",2.79125e+11,435,23.33,NA,NA,11669,0.87,250,2.46
"677","084690","대상홀딩스",7690,-90,-1.16,"KOSPI","기타금융",278474417220,1450,5.3,NA,NA,19055,0.4,240,3.12
"678","104480","티케이케미칼",3055,-110,-3.48,"KOSDAQ","화학",277685550870,3921,0.78,NA,NA,7347,0.42,0,0
"679","054620","APS홀딩스",13600,-80,-0.58,"KOSDAQ","금융",277361405600,1179,11.54,825,16.48,10088,1.35,100,0.74
"680","122450","KX",6110,120,2,"KOSDAQ","방송서비스",277002740040,896,6.82,NA,NA,5636,1.08,0,0
"681","377030","맥스트",14120,-460,-3.16,"KOSDAQ","소프트웨어",276340853840,NA,NA,NA,NA,869,16.25,0,0
"682","001070","대한방직",52100,0,0,"KOSPI","섬유의복",2.7613e+11,433,120.32,NA,NA,38608,1.35,0,0
"683","036800","나이스정보통신",27600,-500,-1.78,"KOSDAQ","통신서비스",2.76e+11,4245,6.5,4650,5.94,29620,0.93,590,2.14
"684","001520","동양",1154,-26,-2.2,"KOSPI","비금속광물",275441408702,81,14.25,NA,NA,4010,0.29,40,3.47
"685","003610","방림",6500,40,0.62,"KOSPI","섬유의복",275041585000,191,34.03,NA,NA,5145,1.26,45,0.69
"686","017890","한국알콜",12720,-100,-0.78,"KOSDAQ","화학",274825267200,2230,5.7,NA,NA,20389,0.62,100,0.79
"687","441270","파인엠텍",8430,50,0.6,"KOSDAQ","IT부품",274235773620,NA,NA,NA,NA,NA,NA,0,0
"688","190510","나무가",16980,-260,-1.51,"KOSDAQ","IT부품",273876940320,1164,14.59,NA,NA,4157,4.08,0,0
"689","206640","바디텍메드",11650,-200,-1.69,"KOSDAQ","제약",273618424000,1937,6.01,NA,NA,6688,1.74,200,1.72
"690","078020","이베스트투자증권",4915,-45,-0.91,"KOSDAQ","금융",272690048850,3047,1.61,NA,NA,13709,0.36,600,12.21
"691","084110","휴온스글로벌",21550,-550,-2.49,"KOSDAQ","제약",271993152600,322,66.93,NA,NA,43390,0.5,500,2.32
"692","314130","지놈앤컴퍼니",19270,710,3.83,"KOSDAQ","제약",271543609670,NA,NA,NA,NA,6593,2.92,0,0
"693","029460","케이씨",19990,-10,-0.05,"KOSPI","의료정밀",270945339560,4200,4.76,NA,NA,53833,0.37,300,1.5
"694","045100","한양이엔지",15050,-100,-0.66,"KOSDAQ","기타서비스",2.709e+11,2635,5.71,NA,NA,23732,0.63,550,3.65
"695","001630","종근당홀딩스",54000,-200,-0.37,"KOSPI","의약품",270532494000,3212,16.81,NA,NA,109358,0.49,1400,2.59
"696","059090","미코",8060,-240,-2.89,"KOSDAQ","반도체",269339230680,NA,NA,NA,NA,6192,1.3,70,0.87
"697","139990","아주스틸",10180,-240,-2.3,"KOSPI","철강금속",269283284020,1459,6.98,NA,NA,8901,1.14,0,0
"698","166480","코아스템켐온",8190,-130,-1.56,"KOSDAQ","제약",269208379440,NA,NA,NA,NA,2344,3.49,0,0
"699","086390","유니테스트",12720,-420,-3.2,"KOSDAQ","반도체",268826082720,NA,NA,483,26.36,7422,1.71,0,0
"700","030530","원익홀딩스",3475,-75,-2.11,"KOSDAQ","기계·장비",268401983975,1430,2.43,NA,NA,12713,0.27,0,0
"701","263720","디앤씨미디어",21800,0,0,"KOSDAQ","디지털컨텐츠",267597419800,1271,17.15,NA,NA,5615,3.88,0,0
"702","081000","일진다이아",18810,-500,-2.59,"KOSPI","화학",267157959750,598,31.45,NA,NA,28934,0.65,400,2.13
"703","246710","티앤알바이오팹",12600,-350,-2.7,"KOSDAQ","제약",267049666800,NA,NA,NA,NA,1980,6.36,0,0
"704","293480","하나제약",15000,-220,-1.45,"KOSPI","의약품",266594190000,1679,8.93,1692,8.86,14561,1.03,510,3.4
"705","035510","신세계 I&C",15480,-170,-1.09,"KOSPI","서비스업",2.66256e+11,3144,4.92,NA,NA,21018,0.74,250,1.61
"706","077360","덕산하이메탈",5830,-100,-1.69,"KOSDAQ","일반전기전자",264897721660,751,7.76,NA,NA,6137,0.95,0,0
"707","089600","나스미디어",25100,-600,-2.33,"KOSDAQ","기타서비스",264553046200,2323,10.8,2947,8.52,16579,1.51,800,3.19
"708","055490","테이팩스",56000,-900,-1.58,"KOSPI","화학",264188400000,4009,13.97,NA,NA,27834,2.01,700,1.25
"709","366030","공구우먼",11680,-610,-4.96,"KOSDAQ","유통",264182328000,581,20.1,NA,NA,1797,6.5,2400,20.55
"710","109860","동일금속",29000,400,1.4,"KOSDAQ","금속",2.639e+11,1783,16.26,NA,NA,16682,1.74,250,0.86
"711","182360","큐브엔터",19110,-300,-1.55,"KOSDAQ","오락·문화",263807568570,NA,NA,1130,16.91,2593,7.37,0,0
"712","035890","서희건설",1146,-25,-2.13,"KOSDAQ","건설",263360491722,671,1.71,NA,NA,2965,0.39,50,4.36
"713","200880","서연이화",9740,250,2.63,"KOSPI","운수장비",263256976380,973,10.01,3613,2.7,24588,0.4,150,1.54
"714","130660","한전산업",8070,-160,-1.94,"KOSPI","서비스업",2.63082e+11,264,30.57,NA,NA,2617,3.08,198,2.45
"715","254490","미래반도체",18200,-530,-2.83,"KOSDAQ","유통",262771600000,1376,13.23,NA,NA,3647,4.99,0,0
"716","330860","네패스아크",21550,-400,-1.82,"KOSDAQ","반도체",262566169750,2084,10.34,NA,NA,16497,1.31,0,0
"717","001200","유진투자증권",2710,-80,-2.87,"KOSPI","증권",262507992780,966,2.81,NA,NA,10239,0.26,140,5.17
"718","009580","무림P&P",4200,-90,-2.1,"KOSPI","종이목재",261946960800,298,14.09,1812,2.32,9788,0.43,125,2.98
"719","036530","SNT홀딩스",16040,-200,-1.23,"KOSPI","기타금융",261514331440,5329,3.01,NA,NA,65710,0.24,700,4.36
"720","088800","에이스테크",5820,-200,-3.32,"KOSDAQ","통신장비",261469744860,NA,NA,NA,NA,1466,3.97,0,0
"721","317400","자이에스앤디",6740,-30,-0.44,"KOSPI","서비스업",261394184800,1052,6.41,1910,3.53,7839,0.86,200,2.97
"722","078160","메디포스트",16070,-370,-2.25,"KOSDAQ","제약",261365597580,NA,NA,NA,NA,9878,1.63,0,0
"723","077500","유니퀘스트",9530,-390,-3.93,"KOSPI","유통업",260702441750,2342,4.07,2187,4.36,11339,0.84,300,3.15
"724","065350","신성델타테크",9450,370,4.07,"KOSDAQ","일반전기전자",259723308600,908,10.41,NA,NA,5594,1.69,120,1.27
"725","001130","대한제분",152500,-200,-0.13,"KOSPI","음식료품",2.57725e+11,52446,2.91,NA,NA,534606,0.29,2500,1.64
"726","001790","대한제당",2870,55,1.95,"KOSPI","음식료품",257429184600,220,13.05,NA,NA,5313,0.54,110,3.83
"727","094480","갤럭시아머니트리",6540,-290,-4.25,"KOSDAQ","소프트웨어",256563140520,NA,NA,NA,NA,2784,2.35,45,0.69
"728","347860","알체라",11900,-730,-5.78,"KOSDAQ","소프트웨어",256449426800,NA,NA,NA,NA,947,12.57,0,0
"729","047820","초록뱀미디어",11810,-170,-1.42,"KOSDAQ","오락·문화",256427010620,NA,NA,NA,NA,15090,0.78,0,0
"730","001780","알루코",2850,-50,-1.72,"KOSPI","철강금속",256412881200,43,66.28,NA,NA,2537,1.12,0,0
"731","200670","휴메딕스",25300,50,0.2,"KOSDAQ","제약",256399409200,964,26.24,2807,9.01,13399,1.89,400,1.58
"732","003960","사조대림",27950,-400,-1.41,"KOSPI","음식료품",256146852650,8528,3.28,NA,NA,57550,0.49,300,1.07
"733","291230","엔피",6190,-280,-4.33,"KOSDAQ","기타서비스",256083357860,NA,NA,NA,NA,777,7.97,0,0
"734","004250","NPC",6970,-190,-2.65,"KOSPI","화학",255938400000,624,11.17,NA,NA,7686,0.91,100,1.43
"735","114190","강원에너지",9790,0,0,"KOSDAQ","금속",255744542020,287,34.11,NA,NA,1095,8.94,0,0
"736","002990","금호건설",6920,-160,-2.26,"KOSPI","건설업",255718877400,4130,1.68,1479,4.68,18202,0.38,800,11.56
"737","095570","AJ네트웍스",5460,-70,-1.27,"KOSPI","서비스업",255649730700,1707,3.2,NA,NA,8075,0.68,270,4.95
"738","026890","스틱인베스트먼트",6130,-80,-1.29,"KOSPI","기타금융",255487212750,1537,3.99,NA,NA,6111,1,150,2.45
"739","046440","KG모빌리언스",6570,-160,-2.38,"KOSDAQ","소프트웨어",255083981760,785,8.37,1060,6.2,7727,0.85,220,3.35
"740","143160","아이디스",23800,-700,-2.86,"KOSDAQ","통신장비",255050082000,2246,10.6,NA,NA,18061,1.32,300,1.26
"741","003580","HLB글로벌",6020,-260,-4.14,"KOSPI","광업",255049592840,NA,NA,NA,NA,2559,2.35,0,0
"742","297090","씨에스베어링",9440,-100,-1.05,"KOSDAQ","기계·장비",2.5488e+11,NA,NA,295,32.03,2705,3.49,0,0
"743","000020","동화약품",9120,-160,-1.72,"KOSPI","의약품",254735006400,647,14.1,NA,NA,12534,0.73,180,1.97
"744","004380","삼익THK",12100,-150,-1.22,"KOSPI","기계",2.541e+11,571,21.19,NA,NA,9536,1.27,300,2.48
"745","080420","모다이노칩",3185,-45,-1.39,"KOSDAQ","IT부품",253913366070,144,22.12,NA,NA,4454,0.72,0,0
"746","074610","이엔플러스",4345,5,0.12,"KOSPI","기계",253477767070,NA,NA,NA,NA,1405,3.09,0,0
"747","019680","대교",2990,-40,-1.32,"KOSPI","서비스업",253261521500,NA,NA,NA,NA,6083,0.49,80,2.68
"748","018310","삼목에스폼",17190,-380,-2.16,"KOSDAQ","금속",2.52693e+11,2432,7.07,NA,NA,29100,0.59,100,0.58
"749","216050","인크로스",19430,150,0.78,"KOSDAQ","기타서비스",249543803460,1858,10.46,1776,10.94,8089,2.4,722,3.72
"750","382900","범한퓨얼셀",28300,-750,-2.58,"KOSDAQ","일반전기전자",247936300000,617,45.87,687,41.21,3756,7.53,0,0
"751","084650","랩지노믹스",6660,70,1.06,"KOSDAQ","기타서비스",247219166700,2497,2.67,NA,NA,4747,1.4,300,4.5
"752","011040","경동제약",7990,-50,-0.62,"KOSDAQ","제약",245842440340,460,17.37,NA,NA,9540,0.84,500,6.26
"753","043610","지니뮤직",4230,-230,-5.16,"KOSDAQ","디지털컨텐츠",245828302740,NA,NA,NA,NA,2399,1.76,0,0
"754","348340","뉴로메카",23550,1750,8.03,"KOSDAQ","기계·장비",245679958500,NA,NA,200,117.84,1828,12.88,0,0
"755","228760","지노믹트리",11680,830,7.65,"KOSDAQ","제약",245586062720,NA,NA,NA,NA,5454,2.14,0,0
"756","042000","카페24",10910,-300,-2.68,"KOSDAQ","인터넷",245444430180,NA,NA,NA,NA,10431,1.05,0,0
"757","051370","인터플렉스",10520,-400,-3.66,"KOSDAQ","IT부품",245405005440,NA,NA,1522,6.91,7683,1.37,0,0
"758","068290","삼성출판사",24500,-700,-2.78,"KOSPI","서비스업",2.45e+11,316,77.53,NA,NA,18982,1.29,200,0.82
"759","089010","켐트로닉스",16480,-270,-1.61,"KOSDAQ","화학",244862427360,1975,8.34,NA,NA,9713,1.7,300,1.82
"760","282880","코윈테크",25100,700,2.87,"KOSDAQ","기계·장비",244734362300,575,43.65,NA,NA,10764,2.33,100,0.4
"761","053300","한국정보인증",5850,-200,-3.31,"KOSDAQ","소프트웨어",244391536350,371,15.77,NA,NA,4180,1.4,120,2.05
"762","005160","동국산업",4505,-25,-0.55,"KOSDAQ","금속",244371391410,382,11.79,NA,NA,7687,0.59,130,2.89
"763","091580","상신이디피",17880,-680,-3.66,"KOSDAQ","IT부품",243672555720,1330,13.44,2942,6.08,7503,2.38,100,0.56
"764","110790","크리스에프앤씨",20700,-300,-1.43,"KOSDAQ","섬유·의류",242510436000,6297,3.29,NA,NA,27839,0.74,1000,4.83
"765","045970","코아시아",9170,60,0.66,"KOSDAQ","IT부품",241307412920,NA,NA,NA,NA,4585,2,0,0
"766","321550","티움바이오",9980,-290,-2.82,"KOSDAQ","기타서비스",240926710940,NA,NA,NA,NA,3462,2.88,0,0
"767","362320","청담글로벌",11710,-410,-3.38,"KOSDAQ","유통",240655605900,388,30.18,NA,NA,1715,6.83,0,0
"768","174900","앱클론",15710,1560,11.02,"KOSDAQ","제약",240646863990,NA,NA,NA,NA,1267,12.4,0,0
"769","126340","비나텍",44000,-500,-1.12,"KOSDAQ","IT부품",240603528000,1351,32.57,NA,NA,8971,4.9,0,0
"770","083790","크리스탈지노믹스",3400,-35,-1.02,"KOSDAQ","기타서비스",240538052400,NA,NA,NA,NA,3072,1.11,0,0
"771","035080","그래디언트",15490,-340,-2.15,"KOSDAQ","유통",240522276160,NA,NA,NA,NA,18460,0.84,250,1.61
"772","054950","제이브이엠",19880,30,0.15,"KOSDAQ","기계·장비",240347052960,777,25.59,1771,11.23,12458,1.6,200,1.01
"773","293780","압타바이오",10750,30,0.28,"KOSDAQ","기타서비스",239712809500,NA,NA,NA,NA,2778,3.87,0,0
"774","131370","알서포트",4490,-125,-2.71,"KOSDAQ","디지털컨텐츠",239169202670,470,9.55,NA,NA,1598,2.81,40,0.89
"775","002810","삼영무역",12940,10,0.08,"KOSPI","유통업",238962307120,2288,5.66,NA,NA,23697,0.55,550,4.25
"776","088390","이녹스",25450,0,0,"KOSDAQ","운송장비·부품",238869729800,5877,4.33,NA,NA,21267,1.2,0,0
"777","025000","KPX케미칼",49200,0,0,"KOSPI","화학",2.38128e+11,10123,4.86,NA,NA,119120,0.41,2750,5.59
"778","149950","아바텍",15180,160,1.07,"KOSDAQ","IT부품",236921850000,6,2530,NA,NA,10291,1.48,0,0
"779","007160","사조산업",47300,-800,-1.66,"KOSPI","농업, 임업 및 어업",2.365e+11,9031,5.24,NA,NA,90026,0.53,300,0.63
"780","000140","하이트진로홀딩스",10140,-120,-1.17,"KOSPI","기타금융",235316597100,1529,6.63,NA,NA,23538,0.43,450,4.44
"781","339770","교촌에프앤비",9350,-130,-1.37,"KOSPI","유통업",233586749000,1195,7.82,1435,6.52,7197,1.3,300,3.21
"782","006840","AK홀딩스",17630,-390,-2.16,"KOSPI","기타금융",233554500430,NA,NA,NA,NA,45961,0.38,200,1.13
"783","107590","미원홀딩스",100600,-2200,-2.14,"KOSPI","기타금융",2.33392e+11,14308,7.03,NA,NA,87327,1.15,500,0.5
"784","136490","선진",9810,-140,-1.41,"KOSPI","음식료품",233277915240,1804,5.44,NA,NA,17371,0.56,100,1.02
"785","032300","한국파마",21350,-550,-2.51,"KOSDAQ","제약",232858066350,584,36.56,NA,NA,5269,4.05,50,0.23
"786","045390","대아티아이",3300,-110,-3.23,"KOSDAQ","일반전기전자",232562144100,71,46.48,NA,NA,1476,2.24,0,0
"787","092230","KPX홀딩스",54900,-200,-0.36,"KOSPI","화학",231933065400,11573,4.74,NA,NA,208904,0.26,3000,5.46
"788","008060","대덕",6840,-50,-0.73,"KOSPI","기타금융",231808626000,NA,NA,NA,NA,16976,0.4,300,4.39
"789","010580","에스엠벡셀",2080,-35,-1.65,"KOSPI","운수장비",231403660800,NA,NA,NA,NA,494,4.21,0,0
"790","089030","테크윙",6190,-180,-2.83,"KOSDAQ","반도체",231219062550,485,12.76,NA,NA,5852,1.06,230,3.72
"791","083310","엘오티베큠",12970,-230,-1.74,"KOSDAQ","반도체",230996128010,1211,10.71,NA,NA,11468,1.13,100,0.77
"792","121800","비덴트",3955,-220,-5.27,"KOSDAQ","통신장비",230548569790,4876,0.81,NA,NA,12509,0.32,0,0
"793","004980","성신양회",9400,-220,-2.29,"KOSPI","비금속광물",230451086200,261,36.02,NA,NA,16637,0.57,200,2.13
"794","084680","이월드",1624,-20,-1.22,"KOSPI","기타제조업",230293257432,NA,NA,NA,NA,1689,0.96,0,0
"795","023760","한국캐피탈",729,-2,-0.27,"KOSDAQ","금융",230079380904,170,4.29,NA,NA,1294,0.56,35,4.8
"796","067280","멀티캠퍼스",38800,-200,-0.51,"KOSDAQ","디지털컨텐츠",229959025200,3439,11.28,NA,NA,23142,1.68,600,1.55
"797","297890","HB솔루션",13750,-380,-2.69,"KOSDAQ","기계·장비",229901278750,509,27.01,1338,10.28,6224,2.21,0,0
"798","318020","포인트모바일",18100,0,0,"KOSDAQ","일반전기전자",229187123200,NA,NA,NA,NA,4068,4.45,100,0.55
"799","162300","신스틸",5680,-380,-6.27,"KOSDAQ","금속",228877576640,NA,NA,NA,NA,NA,NA,0,0
"800","073490","이노와이어리스",30100,-800,-2.59,"KOSDAQ","통신장비",228875764600,2250,13.38,3176,9.48,17602,1.71,250,0.83
"801","160550","NEW",8200,-350,-4.09,"KOSDAQ","오락·문화",228830069200,NA,NA,NA,NA,4617,1.78,0,0
"802","123420","위메이드플레이",19950,220,1.12,"KOSDAQ","디지털컨텐츠",228823347900,1667,11.97,NA,NA,18577,1.07,0,0
"803","049180","셀루메드",5470,-90,-1.62,"KOSDAQ","제약",228623201040,210,26.05,NA,NA,1212,4.51,0,0
"804","083930","아바코",14810,-360,-2.37,"KOSDAQ","기계·장비",228263538380,942,15.72,1368,10.83,11746,1.26,300,2.03
"805","273640","와이엠텍",20800,-750,-3.48,"KOSDAQ","일반전기전자",228092800000,649,32.05,NA,NA,4467,4.66,400,1.92
"806","002390","한독",16530,-280,-1.67,"KOSPI","의약품",227511200490,239,69.16,NA,NA,27900,0.59,350,2.12
"807","251370","와이엠티",13920,-40,-0.29,"KOSDAQ","화학",227097338880,648,21.48,NA,NA,7569,1.84,75,0.54
"808","417860","오브젠",58500,-3800,-6.1,"KOSDAQ","소프트웨어",226966837500,NA,NA,NA,NA,284,205.99,0,0
"809","044340","위닉스",12690,-250,-1.93,"KOSDAQ","일반전기전자",226813763250,1257,10.1,NA,NA,12576,1.01,500,3.94
"810","060590","씨티씨바이오",9360,760,8.84,"KOSDAQ","제약",226334347200,NA,NA,NA,NA,3641,2.57,0,0
