"","종목코드","종목명","시장구분","업종명","종가","대비","등락률","시가총액"
"80","030200","KT","KOSPI","통신업",32200,-200,-0.62,8407800217600
"81","033780","KT&G","KOSPI","기타제조업",89100,-600,-0.67,12232761482700
"82","058850","KTcs","KOSPI","서비스업",4035,-145,-3.47,172233975000
"83","058860","KTis","KOSPI","서비스업",4280,-190,-4.25,148952560000
"84","093050","LF","KOSPI","섬유의복",17710,110,0.63,517840400000
"85","003550","LG","KOSPI","기타금융",81800,-1800,-2.15,12867221227400
"86","034220","LG디스플레이","KOSPI","전기전자",15620,-730,-4.46,5589081234000
"87","051900","LG생활건강","KOSPI","화학",671000,-13000,-1.9,10479810187000
"88","051905","LG생활건강우","KOSPI","화학",292500,-2500,-0.85,614161372500
"89","373220","LG에너지솔루션","KOSPI","전기전자",508000,-12000,-2.31,1.18872e+14
"90","003555","LG우","KOSPI","기타금융",60800,-300,-0.49,183714496000
"91","032640","LG유플러스","KOSPI","통신업",10960,40,0.37,4785260516560
"92","011070","LG이노텍","KOSPI","전기전자",286000,-7500,-2.56,6768792602000
"93","066570","LG전자","KOSPI","전기전자",111100,-2900,-2.54,18181272135400
"94","066575","LG전자우","KOSPI","전기전자",49000,-800,-1.61,842113608000
"95","037560","LG헬로비전","KOSPI","서비스업",4485,35,0.79,347349189525
"96","051910","LG화학","KOSPI","화학",666000,-21000,-3.06,47014500438000
"97","051915","LG화학우","KOSPI","화학",304000,-9500,-3.03,2337395200000
"98","079550","LIG넥스원","KOSPI","기계",74400,-300,-0.4,1.6368e+12
"99","006260","LS","KOSPI","기타금융",68700,200,0.29,2.21214e+12
"100","010120","LS ELECTRIC","KOSPI","전기전자",50400,500,1,1.512e+12
"101","000680","LS네트웍스","KOSPI","유통업",2505,-45,-1.76,197401555080
"102","229640","LS전선아시아","KOSPI","기타금융",7080,-100,-1.39,216824143320
"103","108320","LX세미콘","KOSPI","전기전자",96600,-900,-0.92,1571131380000
"104","001120","LX인터내셔널","KOSPI","유통업",32800,-100,-0.3,1.271328e+12
"105","108670","LX하우시스","KOSPI","화학",36900,-1050,-2.77,330907023000
"106","108675","LX하우시스우","KOSPI","화학",17970,-180,-0.99,18550970100
"107","383800","LX홀딩스","KOSPI","기타금융",8470,-40,-0.47,646097444300
"108","38380K","LX홀딩스1우","KOSPI","기타금융",11200,-20,-0.18,16411192000
"109","023150","MH에탄올","KOSPI","음식료품",7930,-140,-1.73,58511711180
